ID^Name^Gender^Ancestry^Class^Subclass^Level^CR^Role^Faction^Region^Settlement^Disposition^AC^HP^Main_Attack^Attack_Bonus^Damage^Key_Spells^Constellation^Notable_Items^First_Met^Speech_Quirks
SL-00004^Manneo Whitlock^Γυναίκα^Goliath^Fighter^-^2^1/4^Σκοπός^Guardians^Thundermount^Anvil Head (SET-035)^Ουδέτερη^17^23^Greatsword^+5^2d6+3 τέμνον^-^-^βαρίδια ρίψης; χρονόμετρο έκρηξης, ακόμα κουρδισμένο; συντεταγμένες προς ένα άγνωστο από τα 108 Wonders^Κάθεται πάνω σε σωρό μπάζων, τρώει, και κοιτάει το στόμιο ενός shaft.^Μιλάει γρήγορα όταν λέει ψέματα και αργά όταν λέει αλήθεια, και το ξέρει.
SL-00012^Rhys Hollis^Άνδρας^Half-Elf^Artificer^Armorer^7^3^Ιχνηλάτης θηρίων^Thundermount Guild^Thundermount^Anvil Head (SET-035)^Ουδέτερος^17^77^Steel Defender + warhammer^+7^1d8+4 τέμνον^Catapult; Absorb Elements; Invisibility; Faerie Fire^-^πρωτότυπο που δεν δούλεψε ποτέ; κομμάτι λιωμένης ράγας; κατάστιχο με κωδικοποιημένα όλα τα χρέη της κάτω πόλης^Φράζει την είσοδο ενός shaft με το σώμα του, λέει στο συνεργείο να πάει σπίτι και αρνείται να εξηγήσει.^Έχει μάθει να χαμηλώνει τη φωνή του όταν λέει κάτι αληθινό.
SL-00093^Eirik Longbarrow^Άνδρας^Goliath^Druid^Circle of the Sea^10^6^Καπετάνιος route^Thundermount Guild^Thundermount^Thunder Camp (SET-032)^Ουδέτερος^16^99^Quarterstaff^+9^1d8+5 θλαστικό^Thunderwave; Wind Wall; Healing Word; Moonbeam^-^ραβδί που έχει ριζώσει δύο φορές; σακί με ακατέργαστο crystalline ore; debt-token από τους Lifeweavers^Φράζει την είσοδο ενός shaft με το σώμα του, λέει στο συνεργείο να πάει σπίτι και αρνείται να εξηγήσει.^Βαριά προφορά Thundermount· αντικαθιστά καθημερινές λέξεις με τεχνική ορολογία χωρίς να το προσέχει.
SL-00094^Flint-Unit Farrow^Άνδρας^Awakened Construct^Wizard^Order of Scribes^3^1/2^Βοσκόπουλο^Thundermount Guild^Thundermount^Deep Cut (SET-027)^Εχθρικός^13^23^Arcane Ray^+5^1d8 force^Magic Missile; Sleep; Detect Magic; Shield^-^μηχανισμός με τα τρία φεγγάρια; λάμπα με ραγισμένο δοχείο; Guardian dog-tag που δεν είναι δικό του^Χαρτογραφεί μια καταρρευσμένη στοά μόνο με τον ήχο.^Μετράει με ρυθμό που ταιριάζει σε τραγούδι δουλειάς, χωρίς να το τραγουδάει ποτέ.
SL-00104^Krell Sorrow^Άνδρας^Half-Orc^Paladin^-^2^1/4^Συλλέκτης μεταλλεύματος^Thundermount Guild^Thundermount^Anvil Head (SET-035)^Ουδέτερος^19^21^Greatsword (Divine Smite)^+5^2d6+3 + 2d8 radiant^Compelled Duel; Divine Favor; Cure Wounds; Shield of Faith^-^greatsword που δεν του δόθηκε ποτέ όνομα; κεντρικό κλειδί των shafts; κατάστιχο με κωδικοποιημένα όλα τα χρέη της κάτω πόλης^Κόβει δείγμα crystalline και τσεπώνει το μισό.^Κάνει τρεις ερωτήσεις πριν απαντήσει σε μία.
SL-00133^Aukan Jarrow^Άνδρας^Goliath^Fighter^Eldritch Knight^10^5^Λαθρέμπορος^Guardians^Thundermount^Anvil Head (SET-035)^Ουδέτερος^18^108^Halberd^+9^1d10+5 τέμνον^-^-^θώρακας επισκευασμένος στο πεδίο; πρόγραμμα βάρδιας με τρία ονόματα διαγραμμένα; σύμβολο ενός Circle που δεν συνεδριάζει πια^Στέκεται εντελώς ακίνητος σε μια στοά, ακούγοντας, και κάνει νόημα για ησυχία.^Μιλάει τέλεια την τοπική γλώσσα αλλά σκέφτεται σε άλλη, και φαίνεται στη σειρά των λέξεων.
SL-00136^Ezekiel Marsh^Άνδρας^Aasimar^Barbarian^Path of the Zealot^5^2^Τεχνικός shield^Thundermount Guild^Thundermount^Slag Head (SET-034)^Ουδέτερος^15^55^Greataxe^+7^1d12+4 τέμνον^-^-^γροθιές τυλιγμένες με αλυσίδα; σφραγισμένο assay με αδύνατη ένδειξη; κομμάτι συμβολαίου με τρεις υπογραφές και κανέναν όρο^Ξεχωρίζει μετάλλευμα σε δύο σωρούς και αρνείται να εξηγήσει τον δεύτερο.^Μιλάει με τον ρυθμό εκπαιδευτή ακόμα και όταν συζητάει για το δείπνο.
SL-00145^Delwyn Nornfield^Γυναίκα^Half-Elf^Druid^Circle of the Moon^3^1/2^Φύλακας φανού σήματος^Thundermount Guild^Thundermount^Deep Cut (SET-027)^Φιλική^15^27^Produce Flame^+5^1d8+3 τέμνον^Healing Word; Entangle; Faerie Fire; Thunderwave^-^μενταγιόν Prism Arc; χρονόμετρο έκρηξης, ακόμα κουρδισμένο; κομμάτι συμβολαίου με τρεις υπογραφές και κανέναν όρο^Σημαδεύει ένα δοκάρι με κιμωλία και μετά το ξανασημαδεύει διαφορετικά.^Επίτηδες επίπεδη και χωρίς προφορά· η προφορά ξεφεύγει μόνο σε γνήσια έκπληξη.
SL-00148^Corvin Thistlewood^Άνδρας^Half-Elf^Ranger^Gloom Stalker^9^5^Αναγνώστης άστρων^Thundermount Guild^Thundermount^Copper Adit (SET-026)^Φιλικός^16^79^Longbow^+9^1d8+5 διατρητικό^Goodberry; Ensnaring Strike; Wind Wall; Hunter's Mark^-^παγίδες και σφυρίχτρα από κόκαλο; χρονόμετρο έκρηξης, ακόμα κουρδισμένο; συντεταγμένες προς ένα άγνωστο από τα 108 Wonders^Ανασύρει ένα πτώμα από shaft χωρίς βοήθεια και χωρίς σχόλιο.^Μιλάει αρκετά σιγά ώστε να σκύβει ο κόσμος, που είναι όλο το νόημα.
SL-00166^Garret Cinderhaugh^Άνδρας^Halfling^Ranger^Hunter^10^5^Γιατρός ανακούφισης^Guardians^Thundermount^Anvil Head (SET-035)^Ουδέτερος^15^93^Longbow^+9^1d8+5 διατρητικό^Ensnaring Strike; Conjure Barrage; Cure Wounds; Lesser Restoration^-^φαρέτρα με διπλό πάτο; κομμάτι λιωμένης ράγας; όνομα γραμμένο σε χέρι και ξαναγραμμένο κάθε μέρα^Στέκεται εντελώς ακίνητος σε μια στοά, ακούγοντας, και κάνει νόημα για ησυχία.^Κοφτές καταφάσεις· χρόνια φωνάζοντας πάνω από τον άνεμο άφησαν τη φωνή του μόνιμα βραχνή.
SL-00167^Lorien Tallow^Γυναίκα^Half-Elf^Rogue^Assassin^6^3^Ανασύρτης ναυαγίων^Independent^Thundermount^Slag Shafttown (SET-033)^Φιλική^16^50^Dagger (Sneak Attack)^+7^1d4+4 + 3d6 διατρητικό^-^-^Veiled Lantern lockpicks; λάμπα με ραγισμένο δοχείο; πορτρέτο κάποιου που το party θα συναντήσει αργότερα^Κάθεται πάνω σε σωρό μπάζων, τρώει, και κοιτάει το στόμιο ενός shaft.^Απαγγέλλει τιμές, βάρη και αποστάσεις με απόλυτη ακρίβεια και ξεχνάει ονόματα ακαριαία.
SL-00168^Nyssa Mallory^Γυναίκα^Human^Warlock^The Archfey^5^3^Εκτελεστής^Thundermount Guild^Thundermount^Anvil Head (SET-035)^Εχθρική^14^48^Pact blade^+7^1d8+4 τέμνον^Shatter; Hold Person; Charm Person; Darkness^-^μενταγιόν με στάχτινο στέμμα; κεντρικό κλειδί των shafts; χάρτης με ένα σημείο κυκλωμένο και χωρίς ετικέτα^Χτυπάει μετάλλευμα με ρυθμό που τελικά αποδεικνύεται σήμα.^Υπερπροφέρει κάθε λέξη, έχοντας μάθει τη γλώσσα αργά και τυπικά.
SL-00181^Kavash Vale^Άνδρας^Goliath^Cleric^War Domain^9^6^Επιθεωρητής wards^Thundermount Guild^Thundermount^Deep Cut (SET-027)^Ουδέτερος^19^81^Warhammer^+9^1d8+5 θλαστικό^Healing Word; Revivify; Hold Person; Bless^-^ιερό σύμβολο λειασμένο από τη χρήση; δείγμα πυρήνα με ετικέτα σε γραφικό χαρακτήρα που κανείς δεν αναγνωρίζει; νόμισμα στραβωμένο από βολή που δεν αυτόν πέτυχε^Μαλώνει με έναν εκτιμητή της Guild για έναν αριθμό που είναι φανερά λάθος.^Επαναλαμβάνει ως ερώτηση το τελευταίο που του είπαν, κερδίζοντας ένα δευτερόλεπτο σκέψης.
SL-00188^Delia Winterfall^Γυναίκα^Human^Ranger^Fey Wanderer^10^5^Λοχίας τείχους^Drifters^Thundermount^Deep Cut (SET-027)^Ουδέτερη^15^94^Shortsword pair^+9^1d6+5 διατρητικό^Hunter's Mark; Fog Cloud; Wind Wall; Ensnaring Strike^-^παγίδες και σφυρίχτρα από κόκαλο; σφραγισμένο assay με αδύνατη ένδειξη; μια υπόσχεση, γραμμένη, με δύο μάρτυρες^Πίνει μόνη σε ταβέρνα γεμάτη με το δικό της συνεργείο.^Τραυλισμός που καθαρίζει εντελώς όταν δίνει διαταγές.
SL-00191^Rilla Thistlewood^Γυναίκα^Halfling^Druid^-^1^1/8^Καθαριστής τείχους^Independent^Thundermount^Deep Cut (SET-027)^Ουδέτερη^14^12^Starry Form (The Long Shot)^+5^1d8+3 radiant^Entangle; Goodberry; Thunderwave; Healing Word^-^χάρτης άστρων σε κατεργασμένο δέρμα; σακί με ακατέργαστο crystalline ore; κλειδί χωρίς κλειδαριά^Ανεβάζει κάτι βαρύ από ένα shaft πολύ αργά, μόνη.^Γελάει πριν ανακοινώσει άσχημα νέα και δεν μπορεί να το σταματήσει.
SL-00215^Aelis Draye^Γυναίκα^Elf^Ranger^Hunter^11^6^Επιστάτης ορυχείου^Thundermount Guild^Thundermount^Thunder Camp (SET-032)^Ουδέτερη^18^116^Longbow^+9^1d8+5 διατρητικό^Pass Without Trace; Wind Wall; Silence; Lesser Restoration^-^μπότες με σόλα που δεν αφήνει ίχνος; κομμάτι λιωμένης ράγας; shard με μήνυμα που δεν έχει παίξει ποτέ^Κόβει δείγμα crystalline και τσεπώνει το μισό.^Σχεδόν μονότονη ομιλία· στηρίζεται εξ ολοκλήρου στην επιλογή λέξεων για να περάσει το νόημα.
SL-00216^Ivar Vell^Άνδρας^Human^Ranger^-^2^1/4^Νυχτερινή σκοπιά^Thundermount Guild^Thundermount^Anvil Head (SET-035)^Ουδέτερος^14^16^Shortsword pair^+5^1d6+3 διατρητικό^Ensnaring Strike; Goodberry; Cure Wounds; Hunter's Mark^-^χάρτης πηγών νερού, ενημερωμένος κάθε βδομάδα; λάμπα με ραγισμένο δοχείο; λίστα routes που δεν υπάρχουν πια^Στέκεται εντελώς ακίνητος σε μια στοά, ακούγοντας, και κάνει νόημα για ησυχία.^Επαναλαμβάνει τους αριθμούς δύο φορές, συνήθεια από δουλειά που δεν κάνει πια.
SL-00222^Roscoe Yestermarch^Άνδρας^Halfling^Ranger^Gloom Stalker^10^5^Υπάλληλος επικηρύξεων^Independent^Thundermount^Anvil Head (SET-035)^Ουδέτερος^15^89^Hand crossbow^+9^1d6+5 διατρητικό^Nondetection; Fog Cloud; Ensnaring Strike; Hunter's Mark^-^φαρέτρα με διπλό πάτο; χρονόμετρο έκρηξης, ακόμα κουρδισμένο; λίστα με έξι ονόματα, τα τέσσερα διαγραμμένα^Διαβάζει ένα ρήγμα με γυμνό χέρι κολλημένο στον βράχο.^Γελάει πριν ανακοινώσει άσχημα νέα και δεν μπορεί να το σταματήσει.
SL-00229^Eldon Brine^Άνδρας^Halfling^Ranger^Fey Wanderer^4^1^Νερουλάς^Thundermount Guild^Thundermount^Anvil Head (SET-035)^Ουδέτερος^14^33^Longbow^+5^1d8+3 διατρητικό^Hunter's Mark; Fog Cloud; Ensnaring Strike; Cure Wounds^-^nightglass δοκιμασμένο με δεμένα μάτια; σακί με ακατέργαστο crystalline ore; γραπτή ομολογία υπογεγραμμένη από κάποιον που ζει ακόμα^Ανασύρει ένα πτώμα από shaft χωρίς βοήθεια και χωρίς σχόλιο.^Μιλάει σε πληθυντικό για τη δουλειά του, αν και δουλεύει μόνος.
SL-00250^Mog Sable^Άνδρας^Orc^Druid^Circle of the Land^9^6^Κοσκινιστής στάχτης^Thundermount Guild^Thundermount^Deep Cut (SET-027)^Ουδέτερος^15^80^Starry Form (The Long Shot)^+9^1d8+5 radiant^Dispel Magic; Plant Growth; Barkskin; Goodberry^-^μενταγιόν Prism Arc; λάμπα με ραγισμένο δοχείο; όνομα γραμμένο σε χέρι και ξαναγραμμένο κάθε μέρα^Κάνει καταμέτρηση που βγαίνει κάθε φορά διαφορετική.^Μιλάει δύο γλώσσες στην ίδια πρόταση και θεωρεί ότι παρακολουθείτε.
SL-00258^Torvald Bellwether^Άνδρας^Dwarf^Artificer^Battle Smith^4^1^Μάγειρας καταυλισμού^Independent^Thundermount^Deep Cut (SET-027)^Ουδέτερος^17^39^Steel Defender + warhammer^+5^1d8+3 τέμνον^Detect Magic; Faerie Fire; Cure Wounds; Absorb Elements^-^ρολό εργαλείων πεδίου; δείγμα πυρήνα με ετικέτα σε γραφικό χαρακτήρα που κανείς δεν αναγνωρίζει; γραμμάτιο από faction που αρνείται ότι το εξέδωσε^Κουβαλάει λάμπα σε ένα shaft που όλοι οι άλλοι έχουν εγκαταλείψει.^Μετράει με ρυθμό που ταιριάζει σε τραγούδι δουλειάς, χωρίς να το τραγουδάει ποτέ.
SL-00263^Ferro Frostwell^Άνδρας^Gnome^Druid^Circle of Stars^10^6^Μεταφορέας μεταλλεύματος^Thundermount Guild^Thundermount^Deep Cut (SET-027)^Ουδέτερος^17^91^Starry Form (The Long Shot)^+9^2d8+5 radiant^Spike Growth; Dispel Magic; Heat Metal; Entangle^The Mender's Bowl^βάζο με χώμα από τόπο που δεν υπάρχει πια; σακί με ακατέργαστο crystalline ore; δαχτυλίδι πολύ μικρό για οποιονδήποτε γνωρίζει^Κάνει καταμέτρηση που βγαίνει κάθε φορά διαφορετική.^Κλείνει κάθε πρόταση σαν να ζητάει άδεια.
SL-00265^Solenn Yarrow^Γυναίκα^Elf^Cleric^Light Domain^7^4^Φρουρός καραβανιού^Thundermount Guild^Thundermount^Anvil Head (SET-035)^Φιλική^19^66^Ritual sickle^+7^1d6+4 τέμνον^Lesser Restoration; Hold Person; Shield of Faith; Guiding Bolt^-^λίστα ονομάτων που διαβάζεται φωναχτά κάθε αυγή; δείγμα πυρήνα με ετικέτα σε γραφικό χαρακτήρα που κανείς δεν αναγνωρίζει; λίστα με έξι ονόματα, τα τέσσερα διαγραμμένα^Μαθαίνει σε ένα συνεργείο ένα σήμα χτυπώντας πάνω σε ράγα.^Γρήγορη, υπερδιεγερμένη ομιλία· διακόπτει τον εαυτό της με διορθώσεις και παρενθέσεις.
SL-00272^Barakas Cindermark^Άνδρας^Tiefling^Artificer^Armorer^10^5^Επικαλητής καταιγίδας^Thundermount Guild^Thundermount^Deep Cut (SET-027)^Φιλικός^19^96^Thunder Gauntlets^+9^1d8+5 θλαστικό^Detect Magic; Heat Metal; Catapult; Dispel Magic^-^ανταλλακτική κάννη Eldritch Cannon; σακί με ακατέργαστο crystalline ore; Guardian dog-tag που δεν είναι δικό του^Φράζει την είσοδο ενός shaft με το σώμα του, λέει στο συνεργείο να πάει σπίτι και αρνείται να εξηγήσει.^Λέει «εμείς» για τις αποφάσεις και «εγώ» για τα λάθη.
SL-00301^Tobin Frostwell^Άνδρας^Human^Wizard^School of Illusion^7^4^Χειριστής θηρίων^Guardians^Thundermount^Slag Shafttown (SET-033)^Εχθρικός^12^59^Ray of Frost^+7^2d8 cold^Shield; Mirror Image; Misty Step; Magic Missile^-^δανεικό spellbook με τις σημειώσεις κάποιου άλλου; κεντρικό κλειδί των shafts; κλειδί χωρίς κλειδαριά^Στέκεται εντελώς ακίνητος σε μια στοά, ακούγοντας, και κάνει νόημα για ησυχία.^Μιλάει μόνο σε προστακτική, ακόμα και κοινωνικά.
SL-00335^Manneo Tanglewood^Γυναίκα^Goliath^Druid^-^2^1/4^Μαθητευόμενος^Thundermount Guild^Thundermount^Slag Shafttown (SET-033)^Φιλική^14^17^Starry Form (The Long Shot)^+5^1d8+3 radiant^Entangle; Goodberry; Faerie Fire; Healing Word^-^κέρατο ελαφιού σκαλισμένο με σεληνιακό ημερολόγιο; κομμάτι λιωμένης ράγας; ένταλμα με τη δική της περιγραφή πάνω^Κάνει καταμέτρηση που βγαίνει κάθε φορά διαφορετική.^Απαγγέλλει τιμές, βάρη και αποστάσεις με απόλυτη ακρίβεια και ξεχνάει ονόματα ακαριαία.
SL-00342^Renk Ulverston^Άνδρας^Half-Orc^Barbarian^Path of the Zealot^20^14^Φύλακας του πάγου^Guardians^Thundermount^Slag Shafttown (SET-033)^Εχθρικός^16^255^Maul^+11^2d6+5 θλαστικό^-^-^greatsword με χαυλιόδοντα αγριόχοιρου; κομμάτι λιωμένης ράγας; μια χάρη που οφείλει κάποιος τον οποίο το party θα χρειαστεί^Πίνει μόνος σε ταβέρνα γεμάτη με το δικό του συνεργείο.^Το γέλιο του έρχεται καθυστερημένα και δεν ταιριάζει με αυτό που ειπώθηκε.
SL-00356^Ilesse Ashgrave^Γυναίκα^Human^Wizard^School of Divination^6^4^Τοπογράφος πεδίου^Thundermount Guild^Thundermount^Deep Cut (SET-027)^Ουδέτερη^13^52^Arcane Ray^+7^2d8 force^Misty Step; Grease; Magic Missile; Web^-^τετράδιο αποτυχημένων πειραμάτων, με ευρετήριο; χρονόμετρο έκρηξης, ακόμα κουρδισμένο; πειθαρχική αναφορά, ανοιχτή ακόμα^Κάνει καταμέτρηση που βγαίνει κάθε φορά διαφορετική.^Μιλάει για το μέλλον μόνο σε υποθετικό, ποτέ σε οριστική.
SL-00361^Skamos Everdene^Άνδρας^Tiefling^Wizard^School of Abjuration^6^4^Ανιχνευτής^Independent^Thundermount^Anvil Head (SET-035)^Ουδέτερος^14^46^Fire Bolt^+7^210 fire^Web; Mirror Image; Scorching Ray; Sleep^-^spellbook με δικές του σημειώσεις; δείγμα πυρήνα με ετικέτα σε γραφικό χαρακτήρα που κανείς δεν αναγνωρίζει; σύμβολο ενός Circle που δεν συνεδριάζει πια^Διαβάζει ένα ρήγμα με γυμνό χέρι κολλημένο στον βράχο.^Ψιθυρίζει εξ ορισμού· η ένταση ανεβαίνει μόνο όταν φοβάται.
SL-00371^Emmery Wickham^Άνδρας^Human^Warlock^The Celestial^4^1^Εκπαιδευόμενος scout^Thundermount Guild^Thundermount^Slag Shafttown (SET-033)^Φιλικός^13^39^Eldritch Blast^+5^1 δέσμες, 1d10+3 force η καθεμία^Arms of Hadar; Hex; Dissonant Whispers; Armor of Agathys^-^περγαμηνή συμβολαίου με άθικτη σφραγίδα Lord; σακί με ακατέργαστο crystalline ore; απλήρωτη επικήρυξη για τέρας ήδη νεκρό^Ξεχωρίζει μετάλλευμα σε δύο σωρούς και αρνείται να εξηγήσει τον δεύτερο.^Μιλάει τη γραφειοκρατική του shield-district και δεν έχει καταλάβει ότι δεν είναι παγκόσμια.
SL-00375^Varg Ashgrave^Άνδρας^Half-Orc^Artificer^Artillerist^6^3^Κλεπταποδόχος^Thundermount Guild^Thundermount^Anvil Head (SET-035)^Φιλικός^17^67^Steel Defender + warhammer^+7^1d8+4 τέμνον^Enhance Ability; Heat Metal; Cure Wounds; Detect Magic^-^σχεδιάγραμμα σχολιασμένο από τρία διαφορετικά χέρια; σακί με ακατέργαστο crystalline ore; shard με μήνυμα που δεν έχει παίξει ποτέ^Αρνείται να υπογράψει ένα assay που έχει ήδη διαβάσει.^Μιλάει όσο δουλεύει και κόβεται στη μέση όταν συγκεντρώνεται· δεν τελειώνει ποτέ αυτές τις προτάσεις.
SL-00384^Felosial Quillon^Γυναίκα^Elf^Fighter^Battle Master^10^5^Επιστάτης ορυχείου^Thundermount Guild^Thundermount^Thunder Camp (SET-032)^Ουδέτερη^18^113^Lance (mounted)^+9^1d12+5 διατρητικό^-^-^βαρίδια ρίψης; κομμάτι λιωμένης ράγας; debt-token από τους Lifeweavers^Κάθεται πάνω σε σωρό μπάζων, τρώει, και κοιτάει το στόμιο ενός shaft.^Δίνει οδηγίες με ορόσημα που δεν υπάρχουν πια.
