ID^Name^Gender^Ancestry^Class^Subclass^Level^CR^Role^Faction^Region^Settlement^Disposition^AC^HP^Main_Attack^Attack_Bonus^Damage^Key_Spells^Constellation^Notable_Items^First_Met^Speech_Quirks
SL-00001^Temperance Zell^Γυναίκα^Tiefling^Druid^-^1^1/8^Παραγιός μάγειρα^Guardians^New Grandia^Lower Row (SET-016)^Ουδέτερη^15^11^Starry Form (The Long Shot)^+5^1d8+3 radiant^Goodberry; Entangle; Thunderwave; Healing Word^-^σακούλι με σπόρους εξαφανισμένων χόρτων; κλειδί δωματίου στην πάνω συνοικία; μια χάρη που οφείλει κάποιος τον οποίο το party θα χρειαστεί^Στην κάτω αγορά αγοράζει ακριβώς ένα πράγμα, πολύ προσεκτικά.^Βραχνιάζει μέσα σε μια ώρα κουβέντας και μοιράζει τις προτάσεις της ανάλογα.
SL-00114^Brynn Dross^Γυναίκα^Half-Elf^Sorcerer^Aberrant Sorcery^9^6^Τοπογράφος shaft^New Grandia Authority^New Grandia^Lantern Row (SET-019)^Φιλική^12^73^Chromatic Orb^+9^2d8 lightning^Lightning Bolt; Fly; Shatter; Chromatic Orb^-^φιαλίδιο νερού καταιγίδας που δεν έχει κατακαθίσει; city clearance sigil; κατάστιχο με κωδικοποιημένα όλα τα χρέη της κάτω πόλης^Κατεβάζει μια αναρτημένη ανακοίνωση και τη βάζει πίσω πανομοιότυπη.^Καθαρίζει τον λαιμό της πριν από κάθε άρνηση, που κάνει τις αρνήσεις ορατές από μακριά.
SL-00116^Elowen Vane^Γυναίκα^Aasimar^Monk^Warrior of the Elements^9^5^Πράκτορας χαρτών^New Grandia Authority^New Grandia^Mill Quarter (SET-021)^Εχθρική^16^79^Unarmed Strike (Flurry)^+9^4 επιθέσεις, 1d8+5 θλαστικό^-^-^κορδόνι με κόμπους προσευχής, αρκετοί καμένοι; απόδειξη για χρέος ήδη πληρωμένο; γραπτή ομολογία υπογεγραμμένη από κάποιον που ζει ακόμα^Περιμένει σε προθάλαμο που σας είπαν ότι ήταν άδειος.^Μιλάει με τον ρυθμό εκπαιδευτή ακόμα και όταν συζητάει για το δείπνο.
SL-00120^Bharash Wickham^Άνδρας^Dragonborn^Sorcerer^Aberrant Sorcery^10^6^Επιστάτης ορυχείου^Independent^New Grandia^Old Quarter (SET-013)^Ουδέτερος^14^85^Fire Bolt^+9^210 fire^Lightning Bolt; Fireball; Burning Hands; Twinned Haste^-^φιαλίδιο νερού καταιγίδας που δεν έχει κατακαθίσει; απόδειξη για χρέος ήδη πληρωμένο; λίστα routes που δεν υπάρχουν πια^Στέκεται σε παράθυρο κοιτώντας τη συνοικία από κάτω και μετράει κάτι.^Απευθύνεται σε ομάδες και όχι σε άτομα, ακόμα κι όταν είστε ένας.
SL-00140^Lorna Quick^Γυναίκα^Human^Fighter^Eldritch Knight^8^4^Αναγνώστης άστρων^Independent^New Grandia^Old Row (SET-020)^Φιλική^18^94^Longsword^+7^1d8+4 τέμνον^-^-^ασπίδα με τρία διαφορετικά οικόσημα καρφωμένα το ένα πάνω στο άλλο; city clearance sigil; μια τούφα μαλλιά σε διπλωμένο χαρτί^Διαβάζει φωναχτά ένα κατάστιχο χρεών σε κάποιον που δεν ξέρει να διαβάζει.^Σωπαίνει τελείως όταν λέει ψέματα, που είναι κακή τακτική.
SL-00143^Wellby Vantry^Άνδρας^Halfling^Paladin^Oath of Devotion^4^1^Θελήματα^New Grandia Authority^New Grandia^Lower Row (SET-016)^Ουδέτερος^19^45^Greatsword (Divine Smite)^+5^2d6+3 + 2d8 radiant^Divine Favor; Shield of Faith; Bless; Cure Wounds^-^greatsword που δεν του δόθηκε ποτέ όνομα; απόδειξη για χρέος ήδη πληρωμένο; κονσέρβα με μια εξομολόγηση χαραγμένη μέσα^Αναρτά ανακοίνωση αμοιβής με το ίδιο του το όνομα διαγραμμένο.^Έχει μία ιστορία που τη λέει με κάθε ευκαιρία, και είναι διαφορετική ιστορία κάθε φορά.
SL-00152^Jophiel Corr^Γυναίκα^Aasimar^Warlock^The Great Old One^9^6^Ιχνηλάτης θηρίων^Independent^New Grandia^Old Terrace (SET-023)^Φιλική^14^86^Pact blade^+9^1d8+5 τέμνον^Misty Step; Armor of Agathys; Charm Person; Darkness^-^κλειδί που δεν ξεκλειδώνει τίποτα σε αυτόν τον κόσμο; πλαστό clearance sigil; λίστα routes που δεν υπάρχουν πια^Κατεβάζει μια αναρτημένη ανακοίνωση και τη βάζει πίσω πανομοιότυπη.^Έχει τη συνήθεια να επαναλαμβάνει το όνομά σου μέσα στην κουβέντα, χωρίς λόγο.
SL-00163^Vistra Halberd^Γυναίκα^Dwarf^Wizard^School of Divination^8^5^Λοχίας περιμέτρου^New Grandia Authority^New Grandia^Old Terrace (SET-023)^Ουδέτερη^14^60^Ray of Frost^+7^2d8 cold^Sleep; Invisibility; Misty Step; Detect Magic^-^spellbook με δικές του σημειώσεις; πλαστό clearance sigil; κατάστιχο με κωδικοποιημένα όλα τα χρέη της κάτω πόλης^Στην κάτω αγορά αγοράζει ακριβώς ένα πράγμα, πολύ προσεκτικά.^Κοφτός στρατιωτικός ρυθμός· επαναλαμβάνει τις δύο τελευταίες λέξεις σας πριν απαντήσει.
SL-00172^Thrain Mossgrave^Άνδρας^Dwarf^Rogue^-^1^1/8^Λυχνοκόπος^New Grandia Authority^New Grandia^Lower Row (SET-016)^Ουδέτερος^14^10^Dagger (Sneak Attack)^+5^1d4+3 + 1d6 διατρητικό^-^-^σετ έξι πανομοιότυπων κλειδιών, ένα από τα οποία δουλεύει; φυλλάδιο που υποστηρίζει ότι τα shields ήταν λάθος; shard με μήνυμα που δεν έχει παίξει ποτέ^Φράζει ευγενικά τον δρόμο σας, και μόνο τον δικό σας.^Μιλάει τέλεια την τοπική γλώσσα αλλά σκέφτεται σε άλλη, και φαίνεται στη σειρά των λέξεων.
SL-00173^Mordai Quenby^Άνδρας^Tiefling^Artificer^Battle Smith^4^1^Αντιγραφέας καταστίχων^New Grandia Authority^New Grandia^Old Quarter (SET-013)^Εχθρικός^17^41^Thunder Gauntlets^+5^1d8+3 θλαστικό^Faerie Fire; Absorb Elements; Cure Wounds; Catapult^-^ρολό εργαλείων πεδίου; φυλλάδιο που υποστηρίζει ότι τα shields ήταν λάθος; σφραγισμένο φιαλίδιο με μόνο μια ημερομηνία^Δοκιμάζει μια ραφή του shield με το χέρι και συνοφρυώνεται στο αποτέλεσμα.^Έχει μάθει να χαμηλώνει τη φωνή του όταν λέει κάτι αληθινό.
SL-00174^Marick Vellacott^Άνδρας^Half-Elf^Paladin^Oath of Devotion^9^5^Επιμελητής καραβανιού^Guardians^New Grandia^Lantern Row (SET-019)^Εχθρικός^20^104^Greatsword (Divine Smite)^+9^2d6+5 + 2d8 radiant^Magic Weapon; Shield of Faith; Zone of Truth; Compelled Duel^-^greatsword που δεν του δόθηκε ποτέ όνομα; φυλλάδιο που υποστηρίζει ότι τα shields ήταν λάθος; λίστα routes που δεν υπάρχουν πια^Χάνει μια διαφωνία με έναν υπάλληλο και την κερδίζει μια ώρα μετά, γραπτώς.^Σβήνει στο τέλος των προτάσεων και σας αφήνει να τις τελειώσετε.
SL-00177^Gauthak Tanglewood^Άνδρας^Goliath^Fighter^Eldritch Knight^18^12^Έφορος των routes^Guardians^New Grandia^Vault Quarter (SET-017)^Φιλικός^20^220^Lance (mounted)^+11^1d12+5 διατρητικό^-^-^βραχιόλι που σταματάει λεπίδα και το δείχνει; city clearance sigil; τίτλος ιδιοκτησίας για κτίριο που έχει κατεδαφιστεί^Κατεβάζει μια αναρτημένη ανακοίνωση και τη βάζει πίσω πανομοιότυπη.^Το γέλιο του έρχεται καθυστερημένα και δεν ταιριάζει με αυτό που ειπώθηκε.
SL-00195^Hale Charnwood^Άνδρας^Human^Artificer^Battle Smith^9^5^Χειριστής θηρίων^New Grandia Authority^New Grandia^Old Quarter (SET-013)^Ουδέτερος^18^95^Eldritch Cannon^+9^2d8+5 τέμνον^Faerie Fire; Web; Absorb Elements; Detect Magic^-^πρωτότυπο Guardian Armor; απόδειξη για χρέος ήδη πληρωμένο; λίστα routes που δεν υπάρχουν πια^Διαβάζει ονόματα από πίνακα απωλειών την αυγή, φωναχτά, μόνος.^Δεν μπορεί να ψιθυρίσει· ο ψίθυρός του ακούγεται πιο μακριά από την κανονική του φωνή.
SL-00196^Filigree^Γυναίκα^Awakened Construct^Ranger^Gloom Stalker^9^5^Μεσάζων χρεών^Guardians^New Grandia^Mill Quarter (SET-021)^Ουδέτερη^15^85^Hand crossbow^+9^1d6+5 διατρητικό^Wind Wall; Cure Wounds; Spike Growth; Lightning Arrow^-^nightglass δοκιμασμένο με δεμένα μάτια; κλειδί δωματίου στην πάνω συνοικία; σφραγισμένο έγγραφο που ανοίγει μόνο στη Starfall 15^Κρατάει την πόρτα για μια πομπή που δεν έρχεται.^Προφορά που κανείς δεν τοποθετεί, και δίνει διαφορετική καταγωγή κάθε φορά που ρωτιέται.
SL-00202^Lumen Havelock^Γυναίκα^Aasimar^Paladin^Oath of Glory^3^1/2^Λυχνοκόπος^Guardians^New Grandia^Old Row (SET-020)^Ουδέτερη^17^33^Greatsword (Divine Smite)^+5^2d6+3 + 2d8 radiant^Divine Favor; Shield of Faith; Compelled Duel; Bless^-^λάβαρο τυλιγμένο και ποτέ ανοιγμένο; δελτίο σειράς από υπηρεσία που δεν υπάρχει πια; δαχτυλίδι πολύ μικρό για οποιονδήποτε γνωρίζει^Φράζει ευγενικά τον δρόμο σας, και μόνο τον δικό σας.^Λέει «σωστά» μετά από κάθε πρόταση, και δεν ακούει τον εαυτό της να το κάνει.
SL-00231^Varis Quenby^Άνδρας^Elf^Fighter^Champion^12^7^Αρχιτέκτονας shield^New Grandia Authority^New Grandia^Assay Ward (SET-014)^Φιλικός^19^138^Lance (mounted)^+9^1d12+5 διατρητικό^-^-^θώρακας επισκευασμένος στο πεδίο; δελτία μερίδας για συνοικία όπου δεν επιτρέπεται να μπει; παιδικό σχέδιο ενός αστερισμού που κανείς δεν βρίσκει^Ανακρίνει έναν μάρτυρα με ανησυχητική ευγένεια.^Χρησιμοποιεί ναυτικούς όρους στη στεριά και αρνείται να πει πού τους έμαθε.
SL-00261^Lasha Dross^Γυναίκα^Goliath^Fighter^Battle Master^8^4^Κούριερ αρχείου^Guardians^New Grandia^Lower Row (SET-016)^Φιλική^20^83^Lance (mounted)^+7^1d12+4 διατρητικό^-^-^κόρνα ρήγματος shield; πλαστό clearance sigil; νόμισμα στραβωμένο από βολή που δεν αυτήν πέτυχε^Διαβάζει ονόματα από πίνακα απωλειών την αυγή, φωναχτά, μόνη.^Δίνει κάθε οδηγία ως αριθμημένη λίστα, φωναχτά.
SL-00267^Shautha Ravensmere^Γυναίκα^Half-Orc^Rogue^Arcane Trickster^3^1/2^Βοηθός ταβέρνας^Independent^New Grandia^Old Row (SET-020)^Ουδέτερη^16^25^Dagger (Sneak Attack)^+5^1d4+3 + 2d6 διατρητικό^-^-^Veiled Lantern lockpicks; απόδειξη για χρέος ήδη πληρωμένο; απλήρωτη επικήρυξη για τέρας ήδη νεκρό^Κρατάει την πόρτα για μια πομπή που δεν έρχεται.^Βραχνάδα από παλιό τραύμα στον λαιμό· κρατάει πάντα νερό κοντά.
SL-00281^Nyssa Vardenfell^Γυναίκα^Human^Cleric^War Domain^3^1/2^Παγιδευτής^Guardians^New Grandia^Mill Quarter (SET-021)^Ουδέτερη^18^24^Warhammer^+5^1d8+3 θλαστικό^Shield of Faith; Healing Word; Guiding Bolt; Cure Wounds^-^φορητό βωμό που διπλώνει σε σακίδιο; κλειδί δωματίου στην πάνω συνοικία; απόδειξη θανάτου που δεν έχει συμβεί ακόμα^Κατεβάζει μια αναρτημένη ανακοίνωση και τη βάζει πίσω πανομοιότυπη.^Ψιθυρίζει εξ ορισμού· η ένταση ανεβαίνει μόνο όταν φοβάται.
SL-00287^Bettany Brine^Γυναίκα^Human^Fighter^Battle Master^3^1/2^Οδηγός κάρου^Guardians^New Grandia^Lantern Row (SET-019)^Φιλική^18^35^Halberd^+5^1d10+3 τέμνον^-^-^δόρυ με αλλαγμένη αιχμή, δύο φορές; δελτία μερίδας για συνοικία όπου δεν επιτρέπεται να μπει; μια τούφα μαλλιά σε διπλωμένο χαρτί^Αναρτά ανακοίνωση αμοιβής με το ίδιο της το όνομα διαγραμμένο.^Κλείνει κάθε πρόταση σαν να ζητάει άδεια.
SL-00290^Hadarai Dural^Άνδρας^Elf^Druid^Circle of the Land^10^6^Αρχιτελώνης^New Grandia Authority^New Grandia^Mill Quarter (SET-021)^Ουδέτερος^15^85^Scimitar^+9^1d6+5 τέμνον^Goodberry; Faerie Fire; Dispel Magic; Barkskin^-^κέρατο ελαφιού σκαλισμένο με σεληνιακό ημερολόγιο; δελτίο σειράς από υπηρεσία που δεν υπάρχει πια; γραπτή ομολογία υπογεγραμμένη από κάποιον που ζει ακόμα^Ανακρίνει έναν μάρτυρα με ανησυχητική ευγένεια.^Σταματάει να μιλάει εντελώς όταν μπαίνει κάποιος άλλος και ξεκινάει πάλι όταν φύγει.
SL-00295^Tobin Rookhurst^Άνδρας^Human^Ranger^Gloom Stalker^4^1^Υπάλληλος διοδίων^Guardians^New Grandia^Old Row (SET-020)^Ουδέτερος^14^33^Longbow^+5^1d8+3 διατρητικό^Ensnaring Strike; Fog Cloud; Goodberry; Cure Wounds^-^σφυρίχτρα κουρδισμένη για ένα μόνο ζώο; ειδοποίηση χρέους ακαδημίας; πορτρέτο κάποιου που το party θα συναντήσει αργότερα^Κάνει μάθημα στον δρόμο σε παιδιά που θα έπρεπε να είναι αλλού.^Λέει «εμείς» για τις αποφάσεις και «εγώ» για τα λάθη.
SL-00296^Kesh Whitlock^Γυναίκα^Dragonborn^Fighter^-^1^1/8^Νερουλάς^Guardians^New Grandia^Old Terrace (SET-023)^Φιλική^19^12^Greatsword^+5^2d6+3 τέμνον^-^-^Guardian halberd; φυλλάδιο που υποστηρίζει ότι τα shields ήταν λάθος; εικόνα σε shard, ενός τόπου που κανείς δεν αναγνωρίζει^Χάνει μια διαφωνία με έναν υπάλληλο και την κερδίζει μια ώρα μετά, γραπτώς.^Δεν χρησιμοποιεί ποτέ ονόματα, μόνο «εσύ» και «αυτοί», ακόμα και για τους απόντες.
SL-00303^Aina Mallory^Γυναίκα^Goliath^Druid^-^1^1/8^Νερουλάς^Independent^New Grandia^Old Row (SET-020)^Φιλική^16^9^Quarterstaff^+5^1d8+3 θλαστικό^Faerie Fire; Healing Word; Entangle; Goodberry^-^φυλαχτό από πεσμένη ουράνια πέτρα; city clearance sigil; διαταγές που επέλεξε να μην ακολουθήσει^Κρατάει την πόρτα για μια πομπή που δεν έρχεται.^Έχει τη συνήθεια να επαναλαμβάνει το όνομά σου μέσα στην κουβέντα, χωρίς λόγο.
SL-00305^Jelenneth Mallory^Γυναίκα^Elf^Fighter^Psi Warrior^3^1/2^Ζωγράφος πινακίδων^New Grandia Authority^New Grandia^Old Row (SET-020)^Φιλική^17^34^Lance (mounted)^+5^1d12+3 διατρητικό^-^-^Guardian lance; city clearance sigil; λίστα με έξι ονόματα, τα τέσσερα διαγραμμένα^Αναρτά ανακοίνωση αμοιβής με το ίδιο της το όνομα διαγραμμένο.^Μετράει ως το τρία ψιθυριστά πριν απαντήσει σε κάτι δύσκολο.
SL-00313^Vurga Longbarrow^Γυναίκα^Half-Orc^Wizard^School of Divination^5^3^Χειριστής θηρίων^Guardians^New Grandia^Old Terrace (SET-023)^Φιλική^12^44^Ray of Frost^+7^2d8 cold^Sleep; Misty Step; Mirror Image; Web^-^τετράδιο αποτυχημένων πειραμάτων, με ευρετήριο; φυλλάδιο που υποστηρίζει ότι τα shields ήταν λάθος; σφραγισμένο φιαλίδιο με μόνο μια ημερομηνία^Φράζει ευγενικά τον δρόμο σας, και μόνο τον δικό σας.^Εκκωφαντική ένταση χωρίς ρύθμιση για εσωτερικό χώρο· αποκαλεί τους πάντες με τη δουλειά τους.
SL-00315^Rhoda Halloway^Γυναίκα^Human^Barbarian^Path of the World Tree^9^5^Καπετάνιος συνοδείας^Independent^New Grandia^Old Terrace (SET-023)^Ουδέτερη^15^107^Maul^+9^2d6+5 θλαστικό^-^-^γροθιές τυλιγμένες με αλυσίδα; πλαστό clearance sigil; μια υπόσχεση, γραμμένη, με δύο μάρτυρες^Χάνει μια διαφωνία με έναν υπάλληλο και την κερδίζει μια ώρα μετά, γραπτώς.^Αργη και μετρημένη· δεν υψώνει ποτέ τη φωνή της και δεν επαναλαμβάνει.
SL-00319^Hask Bramblecote^Άνδρας^Dwarf^Bard^College of Valor^5^3^Μελετητής ουρανού^New Grandia Authority^New Grandia^Mill Quarter (SET-021)^Ουδέτερος^15^44^Shortsword^+7^1d6+4 διατρητικό^Bane; Dissonant Whispers; Charm Person; Suggestion^-^βιβλίο με ονόματα που κανείς δεν θα τραγουδήσει; city clearance sigil; γραπτή ομολογία υπογεγραμμένη από κάποιον που ζει ακόμα^Μισομεθυσμένος σε ταράτσα ακαδημίας, διορθώνοντας έναν χάρτη άστρων που δεν βλέπει.^Έχει μία ιστορία που τη λέει με κάθε ευκαιρία, και είναι διαφορετική ιστορία κάθε φορά.
